date_time,open,high,low,close,volume,spread,real_volume
2007-06-07,1.5324,1.537,1.5314,1.5363,1227,0,0
2007-06-08,1.5364,1.5434,1.5347,1.5396,1517,0,0
2007-06-11,1.5399,1.5454,1.5383,1.5414,1280,0,0
2007-06-12,1.5425,1.5436,1.5364,1.5413,3164,0,0
2007-06-13,1.5399,1.5448,1.5397,1.5432,2979,0,0
2007-06-14,1.5434,1.5437,1.5405,1.5413,1843,0,0
2007-06-15,1.542,1.5427,1.5374,1.5376,2708,0,0
2007-06-18,1.538,1.539,1.5358,1.5362,1651,0,0
2007-06-19,1.5361,1.5389,1.5359,1.5367,1059,0,0
2007-06-20,1.5368,1.537,1.5335,1.536,1331,0,0
2007-06-21,1.5361,1.5387,1.5341,1.5351,1098,0,0
2007-06-22,1.5352,1.539,1.5348,1.5383,1443,0,0
2007-06-25,1.537,1.5385,1.5358,1.5365,682,0,0
2007-06-26,1.5366,1.5392,1.5361,1.5379,1103,0,0
2007-06-27,1.538,1.5394,1.5371,1.5377,1143,0,0
2007-06-28,1.5376,1.5377,1.5318,1.5342,1171,0,0
2007-06-29,1.5343,1.5344,1.5286,1.5301,1173,0,0
2007-07-02,1.5289,1.5296,1.5213,1.522,1028,0,0
2007-07-03,1.5224,1.5246,1.5212,1.5231,1295,0,0
2007-07-04,1.5232,1.5233,1.5202,1.5206,1555,0,0
2007-07-05,1.5209,1.5228,1.5169,1.5217,1960,0,0
2007-07-06,1.5184,1.5234,1.5182,1.52,1339,0,0
2007-07-09,1.5199,1.5208,1.5179,1.519,920,0,0
2007-07-10,1.5191,1.5192,1.5151,1.5157,1240,0,0
2007-07-11,1.5156,1.5176,1.5139,1.5156,1093,0,0
2007-07-12,1.5158,1.5168,1.5133,1.5148,899,0,0
2007-07-13,1.5149,1.5164,1.5135,1.5152,837,0,0
2007-07-16,1.5156,1.5172,1.5146,1.5157,771,0,0
2007-07-17,1.5161,1.5181,1.5159,1.5168,950,0,0
2007-07-18,1.5174,1.5189,1.5157,1.5169,849,0,0
2007-07-19,1.5164,1.5174,1.5108,1.512,1081,0,0
2007-07-20,1.5114,1.5141,1.5095,1.5116,1114,0,0
2007-07-23,1.5112,1.5116,1.5057,1.5059,969,0,0
2007-07-24,1.5061,1.5066,1.5038,1.5046,1463,0,0
2007-07-25,1.5045,1.5114,1.5044,1.5105,1162,0,0
2007-07-26,1.5101,1.5161,1.5077,1.5153,1935,0,0
2007-07-27,1.5149,1.517,1.5106,1.5158,1887,0,0
2007-07-30,1.516,1.5161,1.5122,1.5128,988,0,0
2007-07-31,1.5129,1.5175,1.5099,1.5163,1830,0,0
2007-08-01,1.5161,1.5244,1.5155,1.5172,2335,0,0
2007-08-02,1.5173,1.5238,1.5167,1.5181,1722,0,0
2007-08-03,1.5175,1.5196,1.5148,1.5166,1441,0,0
2007-08-06,1.5171,1.5196,1.5134,1.514,2128,0,0
2007-08-07,1.5139,1.5164,1.5124,1.5146,1289,0,0
2007-08-08,1.5145,1.5152,1.5084,1.5099,1073,0,0
2007-08-09,1.5101,1.5193,1.5092,1.5177,1769,0,0
2007-08-10,1.5179,1.5242,1.5173,1.5204,2382,0,0
2007-08-13,1.5206,1.5215,1.5163,1.5191,1350,0,0
2007-08-14,1.5195,1.5295,1.5185,1.5282,1586,0,0
2007-08-15,1.5284,1.5341,1.5264,1.5341,1828,0,0
2007-08-16,1.5343,1.5432,1.5323,1.5337,2793,0,0
2007-08-17,1.5336,1.5424,1.5274,1.5278,2506,0,0
2007-08-20,1.5283,1.5303,1.523,1.5286,1996,0,0
2007-08-21,1.5285,1.5345,1.5237,1.5311,2313,0,0
2007-08-22,1.5312,1.5333,1.5234,1.5242,1702,0,0
2007-08-23,1.5249,1.5255,1.5189,1.5198,2221,0,0
2007-08-24,1.5199,1.5261,1.5195,1.5202,1439,0,0
2007-08-27,1.52,1.5209,1.5177,1.5209,935,0,0
2007-08-28,1.521,1.5286,1.5203,1.5278,1675,0,0
2007-08-29,1.5284,1.5299,1.5196,1.5207,1530,0,0
2007-08-30,1.5204,1.5265,1.5201,1.5229,1517,0,0
2007-08-31,1.5232,1.5261,1.5199,1.5251,1421,0,0
2007-09-03,1.5261,1.5265,1.5209,1.523,1099,0,0
2007-09-04,1.5234,1.5288,1.5201,1.5251,1393,0,0
2007-09-05,1.525,1.5286,1.5233,1.5267,1509,0,0
2007-09-06,1.5266,1.5287,1.5217,1.5226,1401,0,0
2007-09-07,1.5229,1.5255,1.5206,1.5254,1620,0,0
2007-09-10,1.5249,1.5275,1.5219,1.523,1003,0,0
2007-09-11,1.5231,1.5243,1.5177,1.5182,1023,0,0
2007-09-12,1.5184,1.519,1.511,1.5125,1580,0,0
2007-09-13,1.5124,1.5133,1.5082,1.5113,1127,0,0
2007-09-14,1.5114,1.5129,1.5094,1.512,1078,0,0
2007-09-17,1.5122,1.5166,1.5103,1.5162,922,0,0
2007-09-18,1.5166,1.5184,1.5083,1.5083,1474,0,0
2007-09-19,1.5089,1.5101,1.5055,1.5073,1802,0,0
2007-09-20,1.5071,1.5073,1.5002,1.5045,1335,0,0
2007-09-21,1.5051,1.5082,1.5025,1.505,1718,0,0
2007-09-24,1.5049,1.5055,1.497,1.4989,1404,0,0
2007-09-25,1.4984,1.5018,1.4984,1.4989,1377,0,0
2007-09-26,1.499,1.4992,1.4952,1.4972,1223,0,0
2007-09-27,1.4971,1.4977,1.4874,1.4899,1874,0,0
2007-09-28,1.4897,1.491,1.4816,1.4849,1907,0,0
